1,Apr 10,BAL,@,CHW,W,5-3,CG,39,9.0,1,3,0,4,0,3B
2,Apr 11,BAL,@,CHW,L,4-8,CG,37,8.0,0,1,1,2,0,3B
3,Apr 12,BAL,@,CHW,L,2-8,CG,40,8.0,1,1,0,2,0,3B
4,Apr 13,BAL,@,CHW,L,2-5,CG,36,8.0,2,5,0,7,2,3B
5,Apr 15,BAL,,KCR,W,12-2,CG,34,9.0,1,3,1,5,0,3B
6,Apr 16,BAL,,KCR,W,2-1,CG,34,9.0,0,3,0,3,1,3B
9 (2),Apr 19,BAL,,CHW,L,4-5,CG,47,12.0,1,7,0,8,1,3B
10,Apr 20,BAL,,CHW,L,6-9,GS,33,6.0,2,0,0,2,0,3B
11,Apr 21,BAL,@,NYY,L,2-3,CG,30,8.0,1,3,0,4,1,3B
12,Apr 22,BAL,@,NYY,L,4-5,CG,42,8.1,1,4,0,5,0,3B
13,Apr 23,BAL,@,NYY,L,5-6,CG,34,8.0,0,3,0,3,1,3B
14,Apr 25,BAL,@,KCR,L,0-7,CG,37,8.0,0,0,1,1,0,3B
15,Apr 26,BAL,@,KCR,W,4-0,CG,35,9.0,0,4,0,4,0,3B
17 (1),Apr 29,BAL,,NYY,L,3-4,CG,39,9.0,1,3,0,4,0,3B
18,Apr 30,BAL,,NYY,W,7-4,CG,40,9.0,1,3,0,4,2,3B
19,May 2,BAL,@,TEX,W,7-5,CG,35,9.0,1,9,0,10,0,3B
20,May 3,BAL,@,TEX,L,2-3,CG,31,8.0,0,2,0,2,0,3B
21,May 4,BAL,@,TEX,W,9-5,CG,42,9.0,1,2,0,3,0,3B
22,May 5,BAL,,MIN,L,2-4,CG,39,9.0,2,2,0,4,1,3B
23,May 6,BAL,,MIN,W,10-3,CG,37,9.0,0,2,0,2,0,3B
24,May 7,BAL,,MIN,W,8-6,CG,42,9.0,2,4,1,7,1,3B
25,May 8,BAL,@,MIL,L,1-9,GS,31,6.0,1,3,1,5,1,3B
26,May 9,BAL,@,MIL,W,5-2,CG,37,9.0,2,4,1,7,3,3B
27,May 10,BAL,@,MIL,L,3-5,CG,35,8.0,2,5,0,7,0,3B
28,May 11,BAL,@,MIL,L,4-5,CG,38,8.0,0,2,0,2,0,3B
29,May 12,BAL,,TEX,L,1-5,CG,33,9.0,0,2,1,3,1,3B
30,May 13,BAL,,TEX,W,4-2,CG,35,9.0,0,0,1,1,0,3B
31,May 14,BAL,,TEX,L,3-6,CG,44,9.0,0,3,0,3,0,3B
32,May 16,BAL,@,DET,W,2-1,CG,33,9.0,2,2,0,4,0,3B
33,May 18,BAL,@,DET,L,4-6,CG,37,8.0,2,1,0,3,1,3B
34,May 19,BAL,@,CLE,W,4-1,CG,33,9.0,1,3,0,4,0,3B
35,May 20 (1),BAL,@,CLE,L,0-4,CG,34,8.0,3,3,0,6,1,3B
36,May 20 (2),BAL,@,CLE,W,8-0,CG,34,9.0,2,0,0,2,0,3B
37,May 21,BAL,@,CLE,L,2-4,CG,35,8.0,2,4,0,6,0,3B
38,May 22,BAL,,DET,W,5-1,CG,31,9.0,1,2,0,3,0,3B
39,May 23,BAL,,DET,W,5-3,CG,32,9.0,0,0,0,0,0,3B
40,May 24,BAL,,DET,W,9-1,GS,9,2.0,0,0,0,0,0,3B
45 (4),May 30,BAL,@,MIN,W,3-2,CG,43,10.0,1,6,0,7,0,3B
46,May 31,BAL,@,MIN,W,11-1,CG,34,9.0,0,1,1,2,1,3B
47,Jun 2,BAL,,MIL,W,9-8,CG,50,11.0,1,2,0,3,0,3B
48,Jun 3,BAL,,MIL,L,0-3,CG,33,9.0,0,3,0,3,0,3B
49,Jun 4,BAL,,MIL,L,2-3,CG,35,9.0,0,3,0,3,0,3B
50,Jun 6,BAL,@,CAL,W,6-1,CG,32,9.0,1,0,0,1,0,3B
51,Jun 7,BAL,@,CAL,W,6-5,CG,40,9.0,2,3,0,5,1,3B
52,Jun 8,BAL,@,CAL,W,13-8,GS,29,6.0,0,1,0,1,0,3B
53,Jun 9,BAL,@,OAK,W,3-2,CG,35,9.0,1,2,0,3,0,3B
54,Jun 10,BAL,@,OAK,L,4-7,GS,30,6.0,0,0,1,1,0,3B
56 (1),Jun 12,BAL,@,SEA,W,4-1,CG,37,9.0,1,1,0,2,0,3B
57,Jun 13,BAL,@,SEA,L,6-7,CG,38,8.0,0,4,0,4,0,3B
58,Jun 14,BAL,@,SEA,L,8-9,CG,43,8.0,0,1,0,1,0,3B
59,Jun 15,BAL,@,SEA,W,9-3,CG,39,9.0,1,4,0,5,0,3B
60,Jun 16,BAL,,CAL,W,5-2,CG,37,9.0,0,2,0,2,0,3B
61,Jun 17,BAL,,CAL,W,5-3,CG,35,9.0,1,2,0,3,1,3B
62,Jun 18,BAL,,OAK,W,3-2,CG,34,9.0,0,5,1,6,1,3B
63,Jun 19,BAL,,OAK,W,4-3,CG,33,9.0,0,4,0,4,0,3B
64,Jun 20,BAL,,SEA,L,1-3,CG,38,9.0,2,6,0,8,1,3B
65,Jun 21,BAL,,SEA,W,9-0,CG,32,9.0,0,5,0,5,1,3B
66,Jun 22,BAL,,SEA,L,5-7,GS,38,9.0,3,3,0,6,0,3B 1B
67,Jun 24,BAL,,TOR,W,1-0,CG,29,9.0,2,2,0,4,0,3B
68,Jun 25,BAL,,TOR,W,6-3,CG,37,9.0,0,0,0,0,0,3B
69,Jun 26,BAL,,TOR,W,4-1,CG,35,9.0,0,4,0,4,0,3B
70,Jun 27,BAL,@,BOS,L,2-3,CG,32,8.0,0,1,0,1,0,3B
71,Jun 28,BAL,@,BOS,W,8-4,CG,38,9.0,0,3,0,3,2,3B
72,Jun 30,BAL,@,TOR,W,9-7,CG,43,9.0,0,3,0,3,1,3B
73,Jul 1,BAL,@,TOR,W,2-0,CG,30,9.0,1,0,0,1,0,3B
74,Jul 2,BAL,@,TOR,W,6-2,CG,35,9.0,0,9,0,9,0,3B
75,Jul 3,BAL,,BOS,L,2-5,CG,36,9.0,1,1,0,2,0,3B
76,Jul 4,BAL,,BOS,W,10-3,CG,38,9.0,0,5,0,5,0,3B
77,Jul 5,BAL,,BOS,L,0-1,CG,33,9.0,1,3,0,4,0,3B
78,Jul 6,BAL,,BOS,L,4-6,GF,7,2.0,0,1,0,1,0,3B
79,Jul 10,BAL,@,CHW,W,9-2,GS,4,1.0,0,1,0,1,0,3B
80,Jul 11,BAL,@,CHW,L,4-5,CG,38,8.0,2,4,0,6,0,3B
81,Jul 12,BAL,,KCR,W,3-1,GS,29,7.0,0,0,1,1,0,3B
83 (1),Jul 14,BAL,,KCR,L,4-8,CG,46,9.0,0,2,0,2,0,3B
84,Jul 15,BAL,@,MIL,W,7-3,CG,35,9.0,1,4,0,5,0,3B
85,Jul 16,BAL,@,MIL,W,10-4,CG,37,9.0,0,5,0,5,0,3B
86,Jul 17,BAL,@,MIL,W,1-0,GS,19,6.0,1,1,0,2,0,3B
90 (3),Jul 21 (1),BAL,@,MIN,L,7-8,GF,8,1.2,0,1,0,1,0,3B
91,Jul 21 (2),BAL,@,MIN,W,12-5,GS,19,5.0,1,0,0,1,0,3B
92,Jul 22,BAL,@,MIN,W,8-4,CG,34,9.0,0,5,0,5,0,3B
93,Jul 23,BAL,@,MIN,W,8-7,CG,40,9.0,1,5,0,6,0,3B
94,Jul 25,BAL,,MIL,L,0-5,CG,37,9.0,2,1,0,3,0,3B
95,Jul 26,BAL,,MIL,W,4-1,CG,38,9.0,2,1,0,3,0,3B
96,Jul 27,BAL,,MIL,W,5-4,CG,46,12.0,3,4,0,7,0,3B
97,Jul 29,BAL,@,TEX,W,4-3,CG,36,9.0,2,1,0,3,1,3B
98,Jul 30,BAL,@,TEX,W,3-2,CG,42,9.0,0,2,0,2,0,3B
100 (1),Aug 1,BAL,,MIN,W,3-2,GS,31,8.0,1,2,0,3,0,3B
101,Aug 2,BAL,,MIN,W,9-2,CG,33,9.0,0,0,0,0,0,3B
102,Aug 3,BAL,,MIN,W,7-2,CG,35,9.0,2,2,0,4,1,3B
103,Aug 5,BAL,,CHW,W,8-2,GS,31,8.0,1,6,0,7,0,3B
104,Aug 6,BAL,,CHW,W,4-1,CG,32,9.0,0,2,0,2,1,3B
105,Aug 7,BAL,,CHW,W,2-1,CG,35,9.0,3,1,0,4,0,3B
106,Aug 8,BAL,@,NYY,W,5-2,CG,37,9.0,0,2,0,2,0,3B
107,Aug 9,BAL,@,NYY,W,4-2,CG,38,9.0,1,2,0,3,0,3B
108,Aug 10,BAL,@,NYY,W,6-5,CG,45,9.0,0,2,2,4,0,3B
